상호명,도로명주소,전화번호,위도,경도
NC큐브 커넬워크점,인천광역시 연수구 아트센터대로 87 (송도동),032-723-6300,37.402276,126.640297
현대프리미엄 아울렛 송도점,인천광역시 연수구 송도국제대로 123 (송도동),032-727-2233,37.3823549,126.658537
트리플 스트리트,인천광역시 연수구 송도동 170-1,032-310-9600,37.38106,126.659446
스퀘어 원,인천광역시 연수구 청능대로 210 (동춘동),032-456-4622,37.4059596,126.683684
엘에프네트웍스 연수점,인천광역시 연수구 청능대로23번길 11 (청학동),032-819-2330,37.4193982,126.668953
