상호명,도로명주소,전화번호,위도,경도,동구분
버터풀앤크리멀러스(Butterful&Creamorous) 송도점,"인천광역시 연수구 송도국제대로 123, 현대프리미엄 아울렛 송도점 3층 일부호 (송도동)",,37.38320628,126.6586339,송도동
대만샌드위치 메이젠(MEIZEN),"인천광역시 연수구 신송로 153, 더 마란츠타워 120호 (송도동)",,37.39716984,126.64915,송도동
뚜레쥬르 신연수점,"인천광역시 연수구 원인재로 286, 대림아파트 상가동 1층 104호 (연수동)",,37.4190454,126.6926717,연수동
뚜레쥬르 나사렛국제병원점,"인천광역시 연수구 앵고개로 248, 로얄빌딩 지상1층 (동춘동)",,37.40836028,126.6712441,동춘동
식빵가게 엘린,"인천광역시 연수구 송도문화로28번길 28, 202동 117호 (송도동, 송도글로벌캠퍼스푸르지오)",,37.3770832,126.6558312,송도동
미추홀제빵소2,"인천광역시 연수구 학나래로118번길 10 (선학동,외2필지 지상1층)",,37.42785904,126.6981299,선학동
뚜레쥬르 옥련시장점,"인천광역시 연수구 독배로 41, 지상1층 (옥련동)",,37.42442552,126.6443535,옥련동
하나노마카롱 송도랜드마크점,"인천광역시 연수구 랜드마크로 68, 301동 지상1층 26호 (송도동, 랜드마크시티센트럴더샵)",,37.41563898,126.6212329,송도동
베이커리샵(Bakery shop),"인천광역시 연수구 함박로83번길 4, 1층 (연수동)",,37.4248688,126.6863253,연수동
앤티앤스,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",,37.38320628,126.6586339,송도동
학생회관 베이커리,"인천광역시 연수구 아카데미로 119 (송도동, 외 1필지 학생복지회관 지상1층)",,37.37654053,126.6329014,송도동
인디오븐,"인천광역시 연수구 독배로40번길 21, 101호 (옥련동)",,37.4244745,126.6460172,옥련동
파리바게트 선학점,"인천광역시 연수구 선학로 101, 지상1층 (선학동, 뉴서울1차아파트상가동 128호,135호일부)",,37.42505293,126.7006293,선학동
너구리베이크샵,"인천광역시 연수구 앵고개로246번길 10, 대산프라자 111호 (동춘동)",,37.40841618,126.6706046,동춘동
몽블랑제 연수점,"인천광역시 연수구 청능대로 210, 홈플러스 인천연수점 지하 1층 (동춘동)",,37.40599741,126.6836222,동춘동
경성찹쌀꽈배기(연수2호점),"인천광역시 연수구 먼우금로252번길 1, 102호 (연수동)",,37.41924513,126.679656,연수동
뚜레쥬르 연수무지개점,"인천광역시 연수구 원인재로 14 (동춘동,무지개마을상가 (아)104호,105호,106호(지상1층))",,37.40128601,126.6700279,동춘동
송도망개떡,"인천광역시 연수구 컨벤시아대로42번길 8 (송도동, 코오롱더프라우1단지 102동 103호)",,37.39862127,126.6519433,송도동
아이에프비(IFB),"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",,37.38320628,126.6586339,송도동
자미당 센트럴파크점,"인천광역시 연수구 센트럴로 232, 더샵센트럴파크1 E동 143호 (송도동, 더샵센트럴파크1)",,37.39636124,126.6375683,송도동
무무이(mumui),"인천광역시 연수구 송도과학로28번길 50, 더샵 송도트리플타워 West 148호 (송도동)",,37.37934987,126.657692,송도동
베이커리(BAKERY),"인천광역시 연수구 청능대로 210 (동춘동, 홈플러스 인천연수점 지하1층)",,37.40599741,126.6836222,동춘동
노리케이크,"인천광역시 연수구 먼우금로 218, 305호 (연수동, 연수푸르지오3단지)",,37.41647766,126.6776655,연수동
퐁싯케이크,"인천광역시 연수구 청량로194번길 16-1, 1층 일부호 (옥련동)",,37.4242749,126.6533532,옥련동
피오니,"인천광역시 연수구 인천타워대로 241, 부영송도타워 지하1층 일부호 (송도동)",,37.39235896,126.6343256,송도동
하나노 마카롱,인천광역시 연수구 송도과학로16번길 13-25 (주)카네비컴 1층 (송도동),,37.38116114,126.6621956,송도동
안스베이커리,"인천광역시 연수구 청명로3번길 1 (청학동, 지상1,2,3,4층)",,37.41633311,126.6738695,청학동
샹끄발레르,"인천광역시 연수구 컨벤시아대로130번길 14, 지상1층 101,102호 (송도동, 송도플러스메디타워)",,37.392955,126.6448883,송도동
나무 와이비에프(YBF),"인천광역시 연수구 송도과학로 85, 연세대학교 국제캠퍼스 1학사 지하1층 (송도동)",,37.37978383,126.6739781,송도동
송사부 수제쌀 고로케,"인천광역시 연수구 청능대로 210, 스퀘어원 3층 (동춘동)",,37.40599741,126.6836222,동춘동
BREAD9(브레드9),"인천광역시 연수구 넘말로55번길 13, 1층 일부호 (선학동)",,37.42987005,126.6962849,선학동
삼송빵집,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",,37.38320628,126.6586339,송도동
송도센트럴파크점 파리바게뜨,"인천광역시 연수구 센트럴로 194, C동 1층 122,123호 (송도동, 더샵센트럴파크)",,37.39378585,126.6418738,송도동
eatscake(잇츠케이크),"인천광역시 연수구 송도과학로28번길 50, 더샵 송도트리플타워 West 138호 (송도동)",,37.37934987,126.657692,송도동
파리바게트 연수동춘점,"인천광역시 연수구 능허대로289번길 11, 102호 (동춘동)",,37.41186737,126.655945,동춘동
까레몽베이커리,"인천광역시 연수구 경원대로 지하 480 (선학동, 선학역 지하1층)",,37.42712554,126.6989576,선학동
뚜레쥬르 송도아트윈점,"인천광역시 연수구 인천타워대로 253-25, 1층 104호 (송도동, 아트윈 푸르지오)",,37.39285224,126.6316532,송도동
하나노마카롱 송도더프라우점,"인천광역시 연수구 컨벤시아대로42번길 20, 303동 129호 (송도동, 송도 더 프라우 3단지)",,37.40002685,126.6502367,송도동
자연드림 송도점,"인천광역시 연수구 하모니로36번길 17, B동 1층 103,106호 (송도동, 은하프라자)",,37.39237735,126.6499039,송도동
베즐리 송도아울렛,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",,37.38320628,126.6586339,송도동
알라메종(A LA MAISON),"인천광역시 연수구 청능대로 210, 스퀘어원 1층 영풍문고 앞 (동춘동)",,37.40599741,126.6836222,동춘동
선(善)빵,"인천광역시 연수구 인천타워대로 323, 송도 센트로드 선큰상가 A동 113호 (송도동)",,37.39952409,126.6295726,송도동
지구본,"인천광역시 연수구 송도과학로 56, 송도테크노파크 BT센터 지상1층 105호 (송도동)",,37.3811087,126.6640824,송도동
아마빌레디저트,"인천광역시 연수구 한나루로 104 (옥련동, 국제타운102호 일부)",,37.42232679,126.6494208,옥련동
뚜레쥬르 연수우성2차점,"인천광역시 연수구 원인재로 180, 상가동 지하1층 9호 (연수동, 연수우성2차아파트)",,37.41301342,126.6855598,연수동
아라네,"인천광역시 연수구 청룡로42번길 40 (옥련동, 지상1층)",,37.42333868,126.6554093,옥련동
