상호명,도로명주소,전화번호,위도,경도,동구분
콩꼬물 꽈배기,"인천광역시 연수구 비류대로 216, 1층 1호 (옥련동)",,37.42724775,126.6588092,옥련동
빌리엔젤(BILLY ANGEL),"인천광역시 연수구 송도과학로16번길 33-1, 1층 105a호 (송도동, 송도트리플스트리트 A동)",,37.38108225,126.6594618,송도동
늘채,"인천광역시 연수구 한진로 58, 1층 일부호 (옥련동)",,37.42749171,126.6486939,옥련동
콩꼬물꽈배기 송도신도시점,"인천광역시 연수구 컨벤시아대로42번길 20, 송도 더 프라우2 3단지 302동 107호 (송도동, 송도 더 프라우 3단지)",,37.40002685,126.6502367,송도동
까로치아 선학점,"인천광역시 연수구 학나래로 113, 1층 일부(102)호 (선학동)",,37.42820096,126.6977759,선학동
퍼플래빗(PURPLE RABBIT) 송도커넬워크점,"인천광역시 연수구 아트센터대로 107, 커낼워크D3 AUTUMN 302동 147호 (송도동)",,37.40073438,126.6388961,송도동
"매,밀","인천광역시 연수구 송도문화로84번길 24, 상가동 지상1층 103호 (송도동, 송도 에듀포레 푸르지오)",,37.37219271,126.6582747,송도동
앤티앤스 프레즐 송도타임스페이스점,"인천광역시 연수구 하모니로 158, 송도타임스페이스 지상1층 D-113,D-114호 (송도동)",,37.38419018,126.6421469,송도동
모찌이야기,"인천광역시 연수구 청능대로 210, 스퀘어원 3층 (동춘동)",,37.40599741,126.6836222,동춘동
잣품은 그집호두과자,"인천광역시 연수구 송도국제대로 123, 현대프리미엄 아울렛 송도점 1층 일부호 (송도동)",,37.38320628,126.6586339,송도동
런던베이커리,"인천광역시 연수구 벚꽃로142번길 20, 지하1층 (연수동)",,37.41537822,126.6801619,연수동
79파운야드 인천대입구역점,"인천광역시 연수구 하모니로 144, 판매시설동 1층 B116호 (송도동, 송도 지웰 푸르지오시티)",,37.38445028,126.6435842,송도동
와플칸 인천송도점,"인천광역시 연수구 신송로 153, 더 마란츠타워 1층 119호 (송도동)",,37.39716984,126.64915,송도동
뉴욕꽈배기 송도역점,"인천광역시 연수구 비류대로 190, 청량주택 101호 (옥련동)",,37.42784922,126.6558125,옥련동
오또베,"인천광역시 연수구 용담로149번길 21, 지상1층 일부호 (연수동)",,37.41380456,126.6812183,연수동
나나언니네,"인천광역시 연수구 인천타워대로132번길 9, 롯데몰 송도 캐슬파크 233호 (송도동)",,37.38467593,126.6411413,송도동
경성찹쌀꽈배기(연수1호점),"인천광역시 연수구 샘말로8번길 18, 1층 일부호 (연수동)",,37.41143011,126.6784495,연수동
와플대학 송도롯데몰캠퍼스,"인천광역시 연수구 하모니로138번길 11, 송도캐슬센트럴파크 102동 1층 157호 (송도동)",,37.38459942,126.6423987,송도동
호호꽈배기&도너츠,"인천광역시 연수구 앵고개로 266, 한양2차아파트(롯데슈퍼) 상가A동 1층 일부호 (동춘동)",,37.40697151,126.6728198,동춘동
미미네제과점,"인천광역시 연수구 새말로107번길 13, 지상1층 일부호 (연수동)",,37.41915509,126.6811006,연수동
푸드트립,"인천광역시 연수구 송도국제대로 123, 현대프리미엄 아울렛 송도점 2층 일부호 (송도동)",,37.38320628,126.6586339,송도동
복호두 연수동춘점,"인천광역시 연수구 앵고개로 260, 맘모스빌딩 지상1층 110호 (동춘동)",,37.40766546,126.6722913,동춘동
