상호명,도로명주소,위도,경도,동구분
해변가,"인천광역시 연수구 앵고개로83번길 15 (동춘동,동춘1동(지상1층))",37.42820451,126.6619139,동춘동
송도쌈밥,"인천광역시 연수구 앵고개로101번길 44-14, 지상1층,지하1층 (동춘동)",37.41492336,126.6562535,동춘동
최진사치킨,"인천광역시 연수구 앵고개로205번길 41 (동춘동,동춘1동 하나A상가102호)",37.40699507,126.6800838,동춘동
삿뽀로송도점(주)엔타스시스템,"인천광역시 연수구 능허대로267번길 70 (동춘동, 지상1,2층)",37.41578927,126.6560863,동춘동
녹돈당,"인천광역시 연수구 청량로79번길 15 (동춘동,(지상1층))",37.41448224,126.6802881,동춘동
수연생오리구이,"인천광역시 연수구 능허대로167번길 72 (옥련동,지하1층, 지상1층)",37.41396407,126.6795242,옥련동
명동식당,"인천광역시 연수구 한나루로196번길 13-16 (옥련동,(지상1층))",37.42723602,126.6579215,옥련동
만강홍,"인천광역시 연수구 원인재로 88, 2동 지상2층 202호 (동춘동, 대우삼환상가)",37.41520853,126.6799988,동춘동
큰손쭈꾸미마을,"인천광역시 연수구 벚꽃로142번길 26, 지상1층 (연수동)",37.4140495,126.6809245,연수동
향나무촌,"인천광역시 연수구 샘말로 77 (연수동, 지상1층)",37.41244536,126.6777181,연수동
원조닭똥집식당,"인천광역시 연수구 샘말로61번길 5 (연수동,2동(지상1층))",37.41663508,126.6507214,연수동
연수조개구이,"인천광역시 연수구 샘말로44번길 9, 지상1층 (연수동)",37.41303726,126.6797519,연수동
갯마을갯뻘낙지,"인천광역시 연수구 벚꽃로158번길 38 (연수동,2동(지상1층))",37.41493655,126.6578497,연수동
아리산체,"인천광역시 연수구 샘말로 15-7 (연수동, 지상1층)",37.41412275,126.6792698,연수동
명가생고기,"인천광역시 연수구 샘말로44번길 12 (연수동,지상1층)",37.41383886,126.6807042,연수동
세븐웨이즈(seven ways),"인천광역시 연수구 샘말로8번길 13-6, 지상1층 (연수동)",37.41355609,126.6807412,연수동
자연채 우렁쌈밥,"인천광역시 연수구 샘말로30번길 17, 지상1층 (연수동)",37.41240056,126.6794425,연수동
은성해물탕,"인천광역시 연수구 샘말로61번길 11 (연수동,지상1층(맛가람길19))",37.41368667,126.6787758,연수동
기쁨수산,"인천광역시 연수구 샘말로43번길 10 (연수동,163BL 11LT 2동(지상1층))",37.41967721,126.6723338,연수동
베트남쌀국수,"인천광역시 연수구 샘말로 68-11 (연수동,지상1층)",37.41272727,126.677946,연수동
시골막창,"인천광역시 연수구 벚꽃로158번길 45 (연수동,(지상1층))",37.4201976,126.6516526,연수동
행운장,"인천광역시 연수구 비류대로294번길 32-5 (청학동,(지상1층))",37.42467129,126.6660034,청학동
주문진 붉은대게 무한리필,"인천광역시 연수구 샘말로21번길 7 (연수동,지상1층)",37.41289019,126.6796003,연수동
청학골,"인천광역시 연수구 용담로 42-1 (청학동,지상1층)",37.42184872,126.6795958,청학동
청능싱싱회센타,"인천광역시 연수구 용담로 71 (청학동,(지상1층))",37.41901223,126.6799962,청학동
칼포니치킨,인천광역시 연수구 새말로 111 (연수동),37.41806491,126.6533994,연수동
물회막회전문점,"인천광역시 연수구 센트럴로 232, E동 163,164호 (송도동, 더샵센트럴파크1)",37.41133205,126.6695752,송도동
페리카나치킨,"인천광역시 연수구 함박뫼로 100 (연수동,문남마을아파트상가 107호)",37.39636124,126.6375683,연수동
알렉산더치킨,"인천광역시 연수구 먼우금로 123, 지상1층 106호 (동춘동, 동춘상가)",37.41819249,126.651331,동춘동
충남회집,"인천광역시 연수구 먼우금로252번길 7-2 (연수동,1동(지상1층))",37.41502139,126.652568,연수동
청원아구,"인천광역시 연수구 대암로 38 (옥련동, 지상1층)",37.41169979,126.6787347,옥련동
송도콩나물해장국,"인천광역시 연수구 청량로113번길 15 (옥련동,지상1층(대암4로15))",37.41749315,126.6541133,옥련동
풍년꽃게,"인천광역시 연수구 인권로 8 (옥련동, 지상1층)",37.41784057,126.6745706,옥련동
송도오리,"인천광역시 연수구 능허대로 243, 지상1,2층 (동춘동)",37.42230881,126.6751194,동춘동
한담,인천광역시 연수구 인권로 26 (옥련동),37.41643686,126.6508575,옥련동
예전,"인천광역시 연수구 대암로 45, 2층 (옥련동)",37.41796546,126.6543656,옥련동
남원골월매추어탕,"인천광역시 연수구 먼우금로252번길 7-3 (연수동,1동(지상1층))",37.41896188,126.6801437,연수동
돈미가,"인천광역시 연수구 새말로35번길 3 (연수동,1동(지상1층))",37.41925131,126.6798971,연수동
안골소막창구이,"인천광역시 연수구 먼우금로252번길 13 (연수동,지상1층)",37.41569739,126.6577372,연수동
송도막창구이,"인천광역시 연수구 능허대로 221 (옥련동,지상1층)",37.41758556,126.6545568,옥련동
송탄 부대찌개,"인천광역시 연수구 대암로 46 (옥련동,지상1층(대암로 62))",37.41689489,126.6785588,옥련동
연수동 해물나라,"인천광역시 연수구 벚꽃로 120, 지상2층 (연수동)",37.41859718,126.6843636,연수동
대동강,"인천광역시 연수구 청량로86번길 14-6 (동춘동, 지상1층)",37.41910865,126.6533961,동춘동
한나루 민어회,"인천광역시 연수구 청량로113번길 5, 지상1층 (옥련동)",37.41469045,126.6556968,옥련동
하늘초롬,인천광역시 연수구 청능대로 58 (동춘동),37.4086566,126.6708262,동춘동
대한해장국,"인천광역시 연수구 앵고개로87번길 5, 1층 (동춘동)",37.41359299,126.6809939,동춘동
심술네,"인천광역시 연수구 솔밭로 57 (동춘동,지상1층(솔밭길 41))",37.41565271,126.6557691,동춘동
기타맨,"인천광역시 연수구 앵고개로101번길 42, 지상2층 (동춘동)",37.42381449,126.6570366,동춘동
윤가네 칼국수,"인천광역시 연수구 청룡로30번길 2 (옥련동,(지상1층))",37.41237319,126.6791363,옥련동
샛별분식,"인천광역시 연수구 앵고개로 242, 연수제일종합상가 B124,B125호 (동춘동)",37.41526759,126.6817582,동춘동
진천명품순대,"인천광역시 연수구 용담로149번길 15 (연수동,2동 지상1층(샘말1로9))",37.43112278,126.6966601,연수동
솔밭가든,"인천광역시 연수구 넘말로79번길 1 (선학동,지상1층(선유봉길58))",37.41825466,126.65422,선학동
블랙앤화이트,"인천광역시 연수구 샘말로8번길 13-19 (연수동,2동(지상1층))",37.41641139,126.6725601,연수동
페리카나치킨,"인천광역시 연수구 샘말로 106-7, 1층 (연수동)",37.41420843,126.6791475,연수동
오븐에빠진닭,"인천광역시 연수구 샘말로61번길 20 (연수동,2동(지상1층))",37.42510946,126.6976653,연수동
마세라티,"인천광역시 연수구 샘말로8번길 7-17 (연수동,지상1층(맛고을안길 26))",37.41241753,126.6774754,연수동
연쭈,"인천광역시 연수구 샘말로62번길 16 (연수동,지상1층)",37.41332501,126.680434,연수동
미가 게장정식전문점,"인천광역시 연수구 샘말로61번길 13 (연수동,2동(지상1층))",37.43545602,126.7011132,연수동
용두레,"인천광역시 연수구 예술로20번길 41, 지상2층 (선학동)",37.41360752,126.6789303,선학동
춘천닭갈비,"인천광역시 연수구 학나래로6번길 45, 1층 (선학동)",37.41378824,126.6801634,선학동
두만강양꼬치,"인천광역시 연수구 샘말로7번길 10 (연수동,2동(지상1층))",37.41212364,126.6781164,연수동
대박어시장,"인천광역시 연수구 샘말로 12 (연수동,2동 지상1층(수합길6))",37.4126712,126.6550365,연수동
리춘시장 인천연수점,"인천광역시 연수구 샘말로43번길 8 (연수동,2동(지상1층))",37.41453112,126.6790181,연수동
술향가,"인천광역시 연수구 샘말로62번길 7 (연수동,2동 지상1층)",37.41405516,126.6794018,연수동
하늘채,"인천광역시 연수구 샘말로 26 (연수동,2동 지상2층)",37.41358453,126.6804226,연수동
예담삼계탕 연수점,"인천광역시 연수구 샘말로62번길 4 (연수동,2동(지상1층))",37.41343682,126.6803097,연수동
참치월드,"인천광역시 연수구 샘말로62번길 14 (연수동,지상1층)",37.41159606,126.6782042,연수동
황소야,"인천광역시 연수구 샘말로61번길 7 (연수동,2동(지상1층))",37.41344712,126.6806254,연수동
산마루,"인천광역시 연수구 샘말로62번길 17 (연수동,2동(지상1층))",37.4175684,126.6752218,연수동
피버(Fever),"인천광역시 연수구 벚꽃로158번길 48, 2동 지하1층 (연수동)",37.41648229,126.6740634,연수동
자이브,"인천광역시 연수구 샘말로8번길 10 (연수동,2동 지하1층(맛고을2가22))",37.41343682,126.6803097,연수동
몽실이비어,"인천광역시 연수구 샘말로62번길 14 (연수동, 지상1층)",37.41245494,126.6787067,연수동
XS BREWING ROOM(엑스트라스몰 브루잉룸),"인천광역시 연수구 청명로 19 (청학동,지상1층)",37.41264208,126.6786583,청학동
조마루 뼈다귀,"인천광역시 연수구 청명로3번길 2 (청학동,(지상1층))",37.42588521,126.6831423,청학동
봉이네식당,"인천광역시 연수구 독배로40번길 18 (옥련동,삼성아파트상가동 202호)",37.42567997,126.6807068,옥련동
경복궁송도점(주)덕용푸드시스템,"인천광역시 연수구 청량로 120 (옥련동, 지상1,2층)",37.41876842,126.6805822,옥련동
하우스홀드,"인천광역시 연수구 새말로99번길 4 (연수동,1동(지상1층))",37.42159458,126.6758444,연수동
쎄미양념통닭,"인천광역시 연수구 함박안로62번길 78 (연수동,1동(지상1층))",37.41879346,126.680944,연수동
명동식당,"인천광역시 연수구 먼우금로252번길 30, 1층 (연수동)",37.41669867,126.6740716,연수동
처갓집 양념치킨 연수점,"인천광역시 연수구 함박로 32, 지상1층 일부호 (연수동)",37.41387302,126.6581124,연수동
옛날 장터 치킨(연수점),"인천광역시 연수구 새말로45번길 1 (연수동,1동(지상1층))",37.41880118,126.6811469,연수동
주모리,"인천광역시 연수구 새말로107번길 3 (연수동,지상2층(벗거리길 20))",37.41372121,126.6798561,연수동
24시 이사반점,"인천광역시 연수구 청명로3번길 8-6, 1층 (청학동)",37.42392548,126.6457534,청학동
형제들감자탕,"인천광역시 연수구 앵고개로103번길 25 (동춘동, 지상2층)",37.41705921,126.6511668,동춘동
성진아구,"인천광역시 연수구 청량로109번길 71 (옥련동, 지상1,2층)",37.39805512,126.6657403,옥련동
멕시카나치킨,"인천광역시 연수구 한나루로 165 (옥련동,외 1필지,지상1층 (한나루길 397))",37.41438633,126.6538822,옥련동
제주뚝배기,"인천광역시 연수구 앵고개로87번길 47 (동춘동,지상1층(먹거리길23))",37.41498309,126.6583102,동춘동
시골밥상,"인천광역시 연수구 대암로 7, 지상1층 (옥련동)",37.41309747,126.654522,옥련동
두레박,"인천광역시 연수구 청량로70번길 2 (동춘동,1동 지상1층, 지상2층(소암길42))",37.4139267,126.6604645,동춘동
충남집,"인천광역시 연수구 능허대로446번길 64 (동춘동,1동 지상1층(동죽길30))",37.41842563,126.6519156,동춘동
강릉해변메밀막국수 송도점,"인천광역시 연수구 능허대로267번길 12 (동춘동, 지상1층)",37.41427167,126.6800779,동춘동
종로빈대떡,"인천광역시 연수구 샘말로 67-2, 지상1층 (연수동)",37.41813553,126.6549553,연수동
송도장어,"인천광역시 연수구 청량로46번길 4 (동춘동,1동 지하1층)",37.41554136,126.6529306,동춘동
오가네식당,"인천광역시 연수구 인권로 12, 지상1층 (옥련동)",37.40072245,126.6674326,옥련동
보드람치킨,"인천광역시 연수구 앵고개로264번길 10-3 (동춘동,지상1층 103호)",37.40755899,126.6717609,동춘동
구워구워,"인천광역시 연수구 경원대로119번길 21 (동춘동,2동 풍림2차상가112호 지상1층(경원로 25))",37.40729578,126.6721445,동춘동
춘천토박이집,"인천광역시 연수구 앵고개로264번길 10-3 (동춘동, 동서빌딩 101,102호)",37.40699507,126.6800838,동춘동
동남세꼬시,"인천광역시 연수구 먼우금로 19 (동춘동,2동 동남상가104호(지상1층))",37.41367048,126.6808597,동춘동
돌계단치킨,"인천광역시 연수구 원인재로 88 (동춘동,2동 삼환.대우분산상가107호(지상1층))",37.41201556,126.6787759,동춘동
호치킨 동춘클라비스점,"인천광역시 연수구 앵고개로264번길 10-13 (동춘동,2동 102호(지상1층))",37.41457598,126.6796378,동춘동
오서방연탄석쇠구이,"인천광역시 연수구 벚꽃로158번길 43 (연수동, 지상1층)",37.41297951,126.679483,연수동
추억의 포장마차,"인천광역시 연수구 샘말로44번길 10 (연수동,지상1층(맛고을길9))",37.42439288,126.6552297,연수동
연수동목로주점,"인천광역시 연수구 벚꽃로142번길 39, 지상1층 (연수동)",37.40729578,126.6721445,연수동
30년전통원조자매,"인천광역시 연수구 샘말로8번길 13-9 (연수동, 지상1층)",37.41360384,126.6782715,연수동
연수동양꼬치,"인천광역시 연수구 샘말로61번길 18 (연수동,2동(지상1층))",37.42446926,126.697497,연수동
황금코다리,"인천광역시 연수구 학나래로6번길 34 (선학동,(지상1층))",37.42457442,126.6967895,선학동
구이촌,"인천광역시 연수구 학나래로14번길 16-1 (선학동,(지상1층))",37.41429587,126.6790188,선학동
연백식당,"인천광역시 연수구 샘말로21번길 14-15 (연수동,지상1층)",37.41258423,126.6791539,연수동
육선과 삼합,"인천광역시 연수구 학나래로 26 (선학동, 지상1층)",37.42607035,126.6971414,선학동
춘식이 철판닭갈비,"인천광역시 연수구 샘말로61번길 15 (연수동, 2동 지상1층)",37.42617131,126.6975399,연수동
중국관,"인천광역시 연수구 샘말로30번길 9, 2동  지상1층 (연수동)",37.40137831,126.673166,연수동
마포소금구이,"인천광역시 연수구 샘말로44번길 6 (연수동,2동 지상1층(맛고을길11))",37.41305612,126.6793533,연수동
최부자네,"인천광역시 연수구 경원대로467번길 18 (선학동,(지상1층))",37.41446009,126.6791741,선학동
아버이순대,"인천광역시 연수구 경원대로467번길 25 (선학동, 지상1층)",37.42426552,126.697359,선학동
투다리 선학점,"인천광역시 연수구 경원대로467번길 14 (선학동, 지상1층)",37.41362136,126.680015,선학동
투다리(연수구청점),"인천광역시 연수구 샘말로8번길 4 (연수동,2동 지상1층)",37.40749232,126.6808219,연수동
흥성 참숯꼬치,"인천광역시 연수구 학나래로14번길 14 (선학동,지상1층)",37.41352633,126.6790503,선학동
쟁반집,"인천광역시 연수구 샘말로62번길 6 (연수동,2동 지상1층(맛가람길9))",37.41285773,126.6777836,연수동
도당우,"인천광역시 연수구 원인재로 124 (동춘동, 한양(아)상가 지상1층 110호)",37.41337103,126.6786226,동춘동
잔잔,"인천광역시 연수구 샘말로43번길 4, 지상1층 (연수동)",37.42449588,126.6979663,연수동
그시절 동태촌 인천연수점,"인천광역시 연수구 샘말로 37-8 (연수동, 2동 지상1층)",37.41191036,126.6784245,연수동
치에로,"인천광역시 연수구 샘말로8번길 7-4 (연수동,지상1층(맛고을안길29))",37.40749232,126.6808219,연수동
바삭치킨&호프,"인천광역시 연수구 원인재로 124 (동춘동,한양상가 지상1-101호(원인재길36))",37.41400322,126.6800995,동춘동
연꽃집,"인천광역시 연수구 샘말로21번길 11 (연수동,2동 지상1층)",37.42613655,126.6977306,연수동
역전할머니맥주(연수점),"인천광역시 연수구 샘말로43번길 9 (연수동, 2동 지상1층)",37.41301342,126.6855598,연수동
포차천국연수점,"인천광역시 연수구 샘말로43번길 5 (연수동, 지상1층)",37.4122437,126.6793102,연수동
사이공 유&미,"인천광역시 연수구 샘말로 68-2 (연수동, 지상1층)",37.4168456,126.6744594,연수동
