상호명,도로명주소,전화번호,위도,경도,동구분
오셀롯PC 인천송도점,"인천광역시 연수구 해돋이로 118, 마린프라자 4층 401호 (송도동)",,37.3923117,126.649548,송도동
프리미엄본스PC동전노래방,"인천광역시 연수구 청능대로113번길 11, 연수그린타워 2층 (연수동)",,37.4131407,126.677069,연수동
비(Bee) PC존,"인천광역시 연수구 학나래로118번길 23, 진승빌딩 2층 (선학동)",,37.4272981,126.698417,선학동
탐스PC,"인천광역시 연수구 새말로 20, 상가동 B02 일부호 (연수동, 성일아파트)",,37.4226092,126.67339,연수동
욜로PC방 인천본점,"인천광역시 연수구 앵고개로264번길 20, 논현빌딩 6층 일부호 (동춘동)",,37.4069187,126.672013,동춘동
라이또PC 인천옥련점,"인천광역시 연수구 독배로90번길 67, 2층 (옥련동)",,37.4280447,126.649189,옥련동
헤라PC방,"인천광역시 연수구 청능대로113번길 37, 석정빌딩 2층 (연수동)",,37.4139179,126.677913,연수동
욜로PC방 옥련점,"인천광역시 연수구 독배로 33, 4층 (옥련동)",,37.4235251,126.644352,옥련동
메가원탑PC방,"인천광역시 연수구 하모니로 271, 1동 2층 218(일부)호 (송도동)",,37.373829,126.636685,송도동
P 양과C군,"인천광역시 연수구 독배로40번길 11 (옥련동, 효명프라자 602호)",,37.40599741,126.6836222,옥련동
이츠 아일랜드,"인천광역시 연수구 첨단대로 80, 에이동 지상2층 (송도동, 아이에프이제트입주기업근로자기숙사 205호 일부)",,37.38094155,126.656664,송도동
모던 피씨존,"인천광역시 연수구 함박로 50 (연수동, 지상4층 일부)",,37.38094155,126.656664,연수동
선학동 피찌방,"인천광역시 연수구 학나래로6번길 11 (선학동, 지상3층 일부)",,37.42372034,126.6932752,선학동
이츠아일랜드,"인천광역시 연수구 송도과학로27번길 55, 302동 지상2층 C-209호 (송도동, 롯데캐슬 캠퍼스타운)",,37.37654053,126.6329014,송도동
포텐피시,"인천광역시 연수구 테크노파크로111번길 12, 반도타워 401일부호 (송도동)",,37.42836716,126.6686087,송도동
