도로명주소,위도,경도,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,동구분
인천광역시 연수구 옥련동 독배로 80,37.42767429,126.6455164,월세,59.46,202209,19,"         2,000",            70,2,2003,옥련동
인천광역시 연수구 옥련동 독배로 80,37.42767429,126.6455164,전세,59.46,202211,10,"         8,000",             0,2,2003,옥련동
인천광역시 연수구 옥련동 독배로82번길 2,37.42777272,126.6455417,전세,59.88,202212,17,"         8,000",             0,5,2003,옥련동
인천광역시 연수구 옥련동 한진로72번길 30,37.42835329,126.6506829,월세,36.48,202210,15,           500,            35,3,1991,옥련동
인천광역시 연수구 옥련동 옥련로99번길 11,37.42646236,126.6511998,월세,34.5,202210,31,           300,            40,2,1991,옥련동
인천광역시 연수구 옥련동 비류대로156번길 56-1,37.42656244,126.6510783,월세,37.04,202211,5,           500,            45,3,1991,옥련동
인천광역시 연수구 옥련동 옥련로97번길 12,37.42654329,126.6509226,전세,35.84,202211,4,"         6,500",             0,3,1991,옥련동
인천광역시 연수구 옥련동 옥련로97번길 10,37.42652151,126.6507759,월세,33.05,202211,8,           500,            43,2,1991,옥련동
인천광역시 연수구 옥련동 옥련로99번길 1,37.42638581,126.6505819,월세,35.33,202209,2,           500,            40,3,1991,옥련동
인천광역시 연수구 옥련동 한나루로180번길 24-1,37.42461756,126.6571581,전세,36.9,202210,4,"         4,800",             0,3,1989,옥련동
인천광역시 연수구 옥련동 한나루로180번길 32,37.42443161,126.6576258,월세,36.9,202211,15,"         1,000",            40,2,1989,옥련동
인천광역시 연수구 옥련동 청룡로 15-3,37.42461521,126.6568281,전세,36.48,202210,24,"         7,000",             0,3,1990,옥련동
인천광역시 연수구 옥련동 청룡로 15-1,37.42439788,126.656687,전세,36.64,202210,27,"         6,900",             0,1,1990,옥련동
인천광역시 연수구 옥련동 비류대로156번길 23,37.42779192,126.6519625,월세,64.56,202301,2,"         7,000",            40,3,2018,옥련동
인천광역시 연수구 옥련동 한나루로86번길 45-11,37.42202193,126.6492682,전세,36.4,202210,4,"         5,000",             0,1,1992,옥련동
인천광역시 연수구 옥련동 한나루로86번길 45-15,37.42199215,126.6490126,전세,40.45,202210,14,"         7,000",             0,2,1993,옥련동
인천광역시 연수구 옥련동 한나루로86번길 45-15,37.42199215,126.6490126,전세,40.45,202210,14,"         7,000",             0,2,1993,옥련동
인천광역시 연수구 옥련동 한나루로86번길 45-15,37.42199215,126.6490126,전세,36.4,202210,26,"         7,800",             0,3,1993,옥련동
인천광역시 연수구 옥련동 한진로72번길 14,37.42853541,126.6499382,전세,37.39,202209,21,"         7,000",             0,3,1991,옥련동
인천광역시 연수구 옥련동 비류대로144번길 24-11,37.42825583,126.6499154,월세,39.93,202211,26,"         1,000",            50,2,1991,옥련동
인천광역시 연수구 옥련동 비류대로144번길 22,37.42837748,126.6504125,월세,34.15,202210,19,           500,            55,2,1991,옥련동
인천광역시 연수구 옥련동 비류대로144번길 22,37.42837748,126.6504125,월세,37.2,202211,18,           200,            35,-1,1991,옥련동
인천광역시 연수구 옥련동 비류대로144번길 22,37.42837748,126.6504125,월세,37.2,202211,18,           200,            35,-1,1991,옥련동
인천광역시 연수구 옥련동 비류대로144번길 24-4,37.42837747,126.6502853,전세,37.11,202209,15,"         6,500",             0,2,1991,옥련동
인천광역시 연수구 옥련동 비류대로144번길 24-4,37.42837747,126.6502853,전세,37.11,202210,25,"         4,650",             0,-1,1991,옥련동
인천광역시 연수구 옥련동 비류대로156번길 31,37.42738786,126.6518014,전세,62.61,202211,7,"        12,500",             0,5,2015,옥련동
인천광역시 연수구 옥련동 한진로 68,37.42846739,126.6491275,전세,55.77,202209,28,"        13,200",             0,3,2002,옥련동
인천광역시 연수구 옥련동 청룡로30번길 1,37.4236569,126.657184,전세,32.16,202210,14,"         7,000",             0,2,1991,옥련동
인천광역시 연수구 옥련동 청룡로30번길 1,37.4236569,126.657184,전세,32.16,202210,15,"         6,400",             0,2,1991,옥련동
인천광역시 연수구 옥련동 청량로155번길 14,37.42105915,126.6516321,월세,27.36,202210,21,           500,            30,1,1995,옥련동
인천광역시 연수구 옥련동 한나루로 162-1,37.4236856,126.6556473,월세,49.09,202210,7,"         2,000",            80,2,2018,옥련동
인천광역시 연수구 옥련동 독배로90번길 43,37.42855765,126.6481443,전세,59.18,202212,1,"        17,500",             0,5,2017,옥련동
인천광역시 연수구 옥련동 독배로82번길 27-12,37.4281197,126.6472835,월세,46.81,202211,3,"         1,500",            65,3,2002,옥련동
인천광역시 연수구 옥련동 청량로184번길 17,37.42394109,126.6534361,월세,34.26,202209,16,           500,            45,4,2007,옥련동
인천광역시 연수구 청학동 청학로11번길 5,37.42803732,126.6629969,전세,26.46,202209,30,"         3,000",             0,3,2001,청학동
인천광역시 연수구 청학동 비류대로278번길 28-17,37.42558333,126.6639435,전세,44.4,202209,27,"         8,000",             0,4,1994,청학동
인천광역시 연수구 청학동 비류대로278번길 18-6,37.4259117,126.6648764,전세,58.94,202209,20,"        12,000",             0,3,1996,청학동
인천광역시 연수구 청학동 청학로21번길 2,37.42915258,126.6632931,전세,39.93,202211,9,"         7,000",             0,4,1993,청학동
인천광역시 연수구 청학동 청학안로14번길 12,37.43076324,126.6629021,전세,39.33,202210,19,"         3,500",             0,-1,1995,청학동
인천광역시 연수구 청학동 청학안로 10,37.43043225,126.6630024,전세,33.31,202211,16,"         6,500",             0,1,1995,청학동
인천광역시 연수구 청학동 청학로27번길 3,37.42943159,126.6632346,전세,35.52,202211,3,"         6,000",             0,1,1994,청학동
인천광역시 연수구 청학동 비류대로278번길 18-9,37.42574844,126.6646042,전세,48.96,202209,20,"        12,500",             0,3,2011,청학동
인천광역시 연수구 청학동 청학로12번길 7-7,37.42835877,126.6638422,전세,54.5,202210,11,"        11,700",             0,3,2002,청학동
인천광역시 연수구 청학동 비류대로256번길 13,37.42617935,126.6634663,월세,31.745,202211,15,           500,            35,1,1995,청학동
인천광역시 연수구 청학동 청학로 33-9,37.42985405,126.6630682,월세,31.13,202211,23,           500,            45,2,1993,청학동
인천광역시 연수구 청학동 청학안로 17-1,37.42990735,126.6627037,전세,41.16,202212,7,"         6,000",             0,3,1994,청학동
인천광역시 연수구 청학동 비류대로303번길 34-1,37.42735061,126.6691469,전세,35.64,202209,1,"         7,000",             0,2,1991,청학동
인천광역시 연수구 청학동 비류대로303번길 34-1,37.42735061,126.6691469,전세,34.74,202210,26,"         7,000",             0,3,1991,청학동
인천광역시 연수구 청학동 청학로27번길 16,37.42984035,126.6625338,전세,50.04,202210,18,"        10,000",             0,2,1983,청학동
인천광역시 연수구 청학동 비류대로232번길 60,37.42418238,126.6603489,전세,185.62,202210,31,"        50,000",             0,2,2009,청학동
