도로명주소,위도,경도,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세(만원),층,건축년도,동구분
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202209,"23,100",0,5,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202209,"27,000",0,4,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202209,"25,000",0,5,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,월세,84.945,202209,"2,000",95,1,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202210,"21,000",0,1,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202210,"20,000",0,1,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,월세,84.945,202210,"2,000",100,2,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202210,"22,000",0,2,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202210,"22,500",0,5,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202210,"22,500",0,5,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202210,"21,000",0,1,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202210,"23,000",0,2,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202210,"18,000",0,5,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,월세,84.945,202210,"1,000",90,5,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202211,"19,000",0,4,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,월세,84.945,202211,"2,000",110,4,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202211,"12,000",0,3,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202212,"25,000",0,2,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202212,"20,000",0,1,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202212,"20,000",0,2,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202212,"20,000",0,2,1994,동춘동
인천광역시 연수구 동춘동 먼우금로83번길 12,37.40778509,126.6687872,건영아파트,전세,84.945,202212,"20,000",0,2,1994,동춘동
인천광역시 연수구 동춘동 먼우금로 69,37.40599505,126.669564,대동아파트,전세,75.255,202209,"20,500",0,2,1994,동춘동
인천광역시 연수구 동춘동 먼우금로 69,37.40599505,126.669564,대동아파트,전세,75.255,202209,"18,900",0,1,1994,동춘동
인천광역시 연수구 동춘동 먼우금로 69,37.40599505,126.669564,대동아파트,월세,84.585,202210,"3,000",100,3,1994,동춘동
