일련번호,상호명,도로명주소,전화번호,위도,경도,단지명,전용면적(㎡),계약년월,거래금액(만원),층,건축년도
436,,인천광역시 연수구 연수동 원인재로 232,,37.4148103,126.688098,솔밭마을아파트,49.56,202211,"20,000",11,1993
437,,인천광역시 연수구 연수동 원인재로 212,,37.4148103,126.688098,"승기마을,연수1차시영",26.82,202209,"13,000",14,1992
438,,인천광역시 연수구 연수동 원인재로 212,,37.4148103,126.688098,"승기마을,연수1차시영",26.82,202210,"13,000",13,1992
439,,인천광역시 연수구 연수동 원인재로 212,,37.4148103,126.688098,"승기마을,연수1차시영",26.82,202210,"14,000",12,1992
440,,인천광역시 연수구 연수동 원인재로 212,,37.4148103,126.688098,"승기마을,연수1차시영",26.82,202210,"16,000",13,1992
441,,인천광역시 연수구 연수동 원인재로 212,,37.4148103,126.688098,"승기마을,연수1차시영",26.82,202211,"14,450",3,1992
442,,인천광역시 연수구 연수동 원인재로 212,,37.4148103,126.688098,"승기마을,연수1차시영",44.22,202211,"21,800",9,1992
443,,인천광역시 연수구 연수동 원인재로 212,,37.4148103,126.688098,"승기마을,연수1차시영",26.82,202212,"12,500",14,1992
444,,인천광역시 연수구 연수동 원인재로 212,,37.4148103,126.688098,"승기마을,연수1차시영",50.67,202212,"18,500",14,1992
445,,인천광역시 연수구 연수동 원인재로 315,,37.4148103,126.688098,연수주공2차,49.94,202209,"23,000",7,1992
446,,인천광역시 연수구 연수동 원인재로 315,,37.4148103,126.688098,연수주공2차,49.94,202210,"21,500",6,1992
447,,인천광역시 연수구 연수동 원인재로 315,,37.4148103,126.688098,연수주공2차,49.94,202210,"21,300",5,1992
448,,인천광역시 연수구 연수동 원인재로 315,,37.4212351,126.691765,연수주공2차,49.94,202211,"21,000",6,1992
449,,인천광역시 연수구 연수동 원인재로 315,,37.4212351,126.691765,연수주공2차,41.3,202211,"16,000",5,1992
450,,인천광역시 연수구 연수동 원인재로 315,,37.4212351,126.691765,연수주공2차,41.3,202211,"16,000",8,1992
451,,인천광역시 연수구 연수동 원인재로 315,,37.4212351,126.691765,연수주공2차,49.94,202211,"21,000",10,1992
452,,인천광역시 연수구 연수동 원인재로 315,,37.4212351,126.691765,연수주공2차,41.3,202211,"15,300",10,1992
453,,인천광역시 연수구 연수동 원인재로 315,,37.4212351,126.691765,연수주공2차,41.3,202212,"14,200",1,1992
454,,인천광역시 연수구 연수동 원인재로 315,,37.4212351,126.691765,연수주공2차,49.94,202212,"20,000",3,1992
455,,인천광역시 연수구 연수동 새말로 111,,37.4212351,126.691765,영남,84.8,202209,"44,000",3,1992
456,,인천광역시 연수구 연수동 청능대로 175,,37.4212351,126.691765,우성1,101.97,202212,"47,400",11,1994
457,,인천광역시 연수구 연수동 원인재로 180,,37.4212351,126.691765,우성2,59.59,202210,"41,000",12,1994
458,,인천광역시 연수구 연수동 원인재로 180,,37.4187981,126.683348,우성2,59.59,202211,"35,000",16,1994
459,,인천광역시 연수구 연수동 원인재로 180,,37.409913,126.682934,우성2,84.78,202212,"40,000",19,1994
460,,인천광역시 연수구 연수동 함박뫼로 115,,37.4117929,126.685083,우주,84.975,202209,"34,000",4,1992
461,,인천광역시 연수구 연수동 먼우금로 302,,37.4117929,126.685083,유천,84.87,202211,"30,000",2,1993
462,,인천광역시 연수구 연수동 먼우금로 302,,37.4117929,126.685083,유천,84.87,202212,"48,000",10,1993
463,,인천광역시 연수구 연수동 함박뫼로 123,,37.4233317,126.680583,인향,84.975,202209,"29,500",5,1992
464,,인천광역시 연수구 연수동 새말로 154,,37.4228011,126.684314,주공3,44.66,202209,"21,800",4,1993
465,,인천광역시 연수구 연수동 새말로 154,,37.4228011,126.684314,주공3,44.66,202210,"20,300",7,1993
466,,인천광역시 연수구 연수동 새말로 154,,37.4233317,126.680583,주공3,44.66,202210,"18,000",5,1993
467,,인천광역시 연수구 연수동 새말로 154,,37.4155136,126.684921,주공3,44.66,202211,"18,000",6,1993
468,,인천광역시 연수구 연수동 먼우금로 299,,37.4155136,126.684921,태경,84.945,202209,"31,000",1,1992
469,,인천광역시 연수구 옥련동 능허대로79번길 30,,37.4155136,126.684921,럭키송도,68.61,202212,"21,000",3,1993
470,,인천광역시 연수구 옥련동 한나루로79번길 11,,37.4155136,126.684921,백산,59.76,202209,"20,000",7,1994
471,,인천광역시 연수구 옥련동 한나루로79번길 11,,37.4233317,126.680583,백산,59.76,202210,"22,500",10,1994
472,,인천광역시 연수구 옥련동 한나루로79번길 12,,37.4243579,126.642642,백산,59.76,202211,"20,000",16,1994
473,,인천광역시 연수구 옥련동 독배로40번길 18,,37.4225485,126.646153,삼성,59.98,202209,"33,000",14,1996
474,,인천광역시 연수구 옥련동 독배로40번길 18,,37.4225485,126.646153,삼성,84.97,202211,"35,000",10,1996
475,,인천광역시 연수구 옥련동 독배로40번길 18,,37.4226946,126.646819,삼성,84.97,202211,"32,000",6,1996
476,,인천광역시 연수구 옥련동 청량로185번길 16,,37.4236641,126.645628,서해,84.855,202211,"35,000",2,1995
477,,인천광역시 연수구 옥련동 청량로 210,,37.4236641,126.645628,쌍용,59.78,202209,"30,000",4,1998
478,,인천광역시 연수구 옥련동 청량로 210,,37.4236641,126.645628,쌍용,59.78,202210,"33,000",19,1998
479,,인천광역시 연수구 옥련동 옥련로99번길 42,,37.4238264,126.651683,아주1,29.7,202209,"17,500",4,1997
480,,인천광역시 연수구 옥련동 옥련로99번길 42,,37.4250468,126.653078,아주1,84.81,202211,"30,700",4,1997
481,,인천광역시 연수구 옥련동 비류대로232번길 7,,37.4250468,126.653078,영남송도,56.16,202211,"22,000",2,1984
482,,인천광역시 연수구 옥련동 비류대로232번길 8,,37.4266588,126.652799,영남송도,58.32,202211,"31,500",5,1984
483,,인천광역시 연수구 옥련동 독배로40번길 48,,37.4266588,126.652799,우성,59.929,202210,"33,000",13,1996
484,,인천광역시 연수구 옥련동 독배로40번길 48,,37.4266386,126.661307,우성,84.692,202210,"38,000",1,1996
485,,인천광역시 연수구 옥련동 한나루로193번길 16,,37.4264547,126.660031,태평,84.74,202211,"31,500",19,1997
486,,인천광역시 연수구 옥련동 한나루로193번길 16,,37.4236867,126.64713,태평,84.74,202211,"31,500",19,1997
487,,인천광역시 연수구 옥련동 비류대로186번길 20,,37.4236867,126.64713,풍림,59.96,202210,"27,000",1,1998
488,,인천광역시 연수구 옥련동 옥련로 33,,37.4260984,126.655242,현대1,59.4,202210,"26,000",5,1994
489,,인천광역시 연수구 옥련동 옥련로 33,,37.4260984,126.655242,현대1,71.265,202210,"27,000",5,1994
490,,인천광역시 연수구 옥련동 옥련로 33,,37.4270429,126.654729,현대1,71.265,202210,"27,000",12,1994
491,,인천광역시 연수구 옥련동 옥련로 33,,37.4281176,126.64346,현대1,84.855,202211,"38,000",16,1994
492,,인천광역시 연수구 옥련동 옥련로 33,,37.4281176,126.64346,현대1,59.4,202211,"20,000",7,1994
493,,인천광역시 연수구 옥련동 옥련로 33,,37.4281176,126.64346,현대1,84.6,202211,"32,000",1,1994
494,,인천광역시 연수구 옥련동 독배로 58,,37.4281176,126.64346,현대2,84.6,202209,"39,850",20,1995
495,,인천광역시 연수구 옥련동 독배로 58,,37.4281176,126.64346,현대2,84.6,202209,"40,000",22,1995
496,,인천광역시 연수구 옥련동 독배로 58,,37.4281176,126.64346,현대2,84.6,202210,"37,700",7,1995
497,,인천광역시 연수구 옥련동 독배로 58,,37.4260541,126.646396,현대2,59.985,202210,"31,000",8,1995
498,,인천광역시 연수구 옥련동 독배로 58,,37.4260541,126.646396,현대2,59.985,202211,"30,500",11,1995
499,,인천광역시 연수구 옥련동 독배로 58,,37.4260541,126.646396,현대2,59.985,202211,"29,000",7,1995
500,,인천광역시 연수구 옥련동 독배로 58,,37.4260541,126.646396,현대2,59.985,202211,"25,000",1,1995
501,,인천광역시 연수구 옥련동 독배로 58,,37.4260541,126.646396,현대2,84.6,202211,"36,000",6,1995
502,,인천광역시 연수구 옥련동 독배로 58,,37.4260541,126.646396,현대2,84.14,202211,"35,700",15,1995
503,,인천광역시 연수구 옥련동 독배로 58,,37.4260541,126.646396,현대2,84.6,202211,"33,000",3,1995
504,,인천광역시 연수구 옥련동 독배로 58,,37.4260541,126.646396,현대2,84.6,202211,"33,000",3,1995
505,,인천광역시 연수구 옥련동 독배로 58,,37.4260541,126.646396,현대2,59.985,202212,"28,000",14,1995
506,,인천광역시 연수구 옥련동 한나루로105번길 68,,37.4260541,126.646396,현대4,84.6,202209,"40,500",7,1997
507,,인천광역시 연수구 옥련동 한나루로105번길 68,,37.4260541,126.646396,현대4,84.6,202210,"40,500",19,1997
508,,인천광역시 연수구 옥련동 한나루로105번길 68,,37.4260541,126.646396,현대4,84.6,202210,"38,500",6,1997
509,,인천광역시 연수구 옥련동 한나루로105번길 68,,37.4252568,126.650942,현대4,84.6,202211,"48,000",13,1997
510,,인천광역시 연수구 옥련동 한진로 50,,37.4252568,126.650942,현대5,84.6,202210,"34,900",4,1997
511,,인천광역시 연수구 청학동 청학로12번길 71,,37.4252568,126.650942,동남,39.42,202209,"14,000",2,1988
512,,인천광역시 연수구 청학동 용담로 3,,37.4252568,126.650942,시대,35.743,202209,"19,000",6,1994
513,,인천광역시 연수구 청학동 용담로 3,,37.4268633,126.648821,시대,35.743,202210,"20,500",9,1994
514,,인천광역시 연수구 청학동 먼우금로 217,,37.4274399,126.667415,연수푸르지오4단지,135.14,202210,"59,500",13,2011
515,,인천광역시 연수구 청학동 용담로 25,,37.4224813,126.669561,용담마을,49.995,202209,"23,500",2,1994
516,,인천광역시 연수구 청학동 용담로 25,,37.4224813,126.669561,용담마을,49.995,202210,"23,500",2,1994
517,,인천광역시 연수구 청학동 용담로 25,,37.417042,126.677029,용담마을,49.995,202211,"20,000",1,1994
518,,인천광역시 연수구 청학동 용담로 25,,37.4213332,126.671396,용담마을,49.995,202211,"20,800",5,1994
519,,인천광역시 연수구 청학동 계림로 111,,37.4213332,126.671396,현대,138.65,202212,"26,632",9,2000
520,,인천광역시 연수구 청학동 계림로 111,,37.4213332,126.671396,현대,138.65,202212,"26,632",9,2000
521,,인천광역시 연수구 청학동 계림로 111,,37.4213332,126.671396,현대,164.46,202212,"41,000",15,2000
